Date,Price,Open,High,Low,Vol.,Change %
3/1/2024,43950,43700,44200,43300,6.87M,1.27%
02/29/2024,43400,44550,44700,43400,11.04M,-2.25%
02/28/2024,44400,44450,44900,44000,6.28M,0.45%
02/27/2024,44200,43750,44200,43300,7.16M,1.96%
02/26/2024,43350,43450,43850,43100,7.00M,-0.23%
02/23/2024,43450,45000,45100,43250,11.75M,-3.01%
02/22/2024,44800,45100,45450,44800,6.81M,-0.44%
02/21/2024,45000,46100,46100,44800,8.95M,-2.49%
02/20/2024,46150,46000,46700,45850,12.93M,1.32%
02/19/2024,45550,43000,45650,42900,20.16M,6.67%
02/16/2024,42700,42150,42800,41950,6.02M,1.79%
02/15/2024,41950,42150,42200,41800,4.32M,0.36%
2/7/2024,41800,41050,41850,41000,3.77M,1.95%
2/6/2024,41000,41400,41450,41000,5.54M,-0.61%
2/5/2024,41250,41400,41600,41100,3.36M,0.12%
2/2/2024,41200,41500,42100,41150,5.78M,0.00%
2/1/2024,41200,41350,41500,41100,7.11M,-0.72%
01/31/2024,41500,42050,42250,41500,6.31M,-1.19%
01/30/2024,42000,41800,42300,41700,2.91M,0.48%
01/29/2024,41800,42300,42300,41800,3.17M,-0.48%
01/26/2024,42000,42200,42500,42000,4.35M,-0.24%
01/25/2024,42100,42500,42500,42050,2.30M,-0.94%
01/24/2024,42500,42350,42950,42300,2.74M,0.35%
01/23/2024,42350,43050,43200,42300,5.26M,-1.51%
01/22/2024,43000,43350,43450,42800,4.71M,-0.12%
01/19/2024,43050,43350,43600,43000,5.53M,-0.35%
01/18/2024,43200,42250,43500,42050,8.94M,3.10%
01/17/2024,41900,42650,42850,41900,6.34M,-1.76%
01/16/2024,42650,41600,42650,41450,3.77M,2.52%
01/15/2024,41600,41800,41850,41400,3.15M,0.73%
1/12/2024,41300,41800,41900,40900,8.33M,-1.67%
1/11/2024,42000,42500,43050,42000,6.97M,-1.64%
1/10/2024,42700,43000,43000,42100,6.79M,-0.70%
1/9/2024,43000,43150,43300,42650,6.38M,-0.81%
1/8/2024,43350,43200,43850,42900,6.21M,0.58%
1/5/2024,43100,43450,43550,43050,4.51M,-0.81%
1/4/2024,43450,43550,43700,43250,8.78M,0.12%
1/3/2024,43400,42600,43400,42550,6.11M,0.93%
1/2/2024,43000,43300,43750,42550,7.59M,-0.46%
12/29/2023,43200,44050,44100,43200,5.32M,-1.14%
12/28/2023,43700,42100,43800,42050,13.13M,4.30%
12/27/2023,41900,42000,42150,41850,6.03M,0.00%
12/26/2023,41900,41500,42200,41300,10.39M,1.70%
12/25/2023,41200,40300,41250,40300,5.96M,2.23%
12/22/2023,40300,40200,40400,40000,3.29M,0.25%
12/21/2023,40200,39700,40450,39650,3.56M,0.63%
12/20/2023,39950,39850,39950,39500,2.36M,1.14%
12/19/2023,39500,39900,39950,39300,5.23M,-1.00%
12/18/2023,39900,40200,40200,39850,3.56M,0.00%
12/15/2023,39900,40450,40550,39850,6.80M,-0.99%
12/14/2023,40300,41100,41250,40250,4.70M,-1.10%
12/13/2023,40750,41200,41650,40650,9.94M,-0.73%
12/12/2023,41050,41000,41300,40750,6.17M,0.12%
12/11/2023,41000,40150,41300,40100,8.70M,3.40%
12/8/2023,39650,39700,40100,39450,9.89M,-0.13%
12/7/2023,39700,40450,40550,39400,11.34M,-1.85%
12/6/2023,40450,40500,40550,39650,10.85M,-0.12%
12/5/2023,40500,41500,41500,40500,8.30M,-1.94%
12/4/2023,41300,40950,41500,40850,8.14M,0.98%
12/1/2023,40900,41300,41400,40400,6.97M,-0.97%
11/30/2023,41300,41200,41350,40600,7.74M,0.24%
11/29/2023,41200,41050,41300,40750,4.21M,1.10%
11/28/2023,40750,39800,40750,39650,7.38M,2.39%
11/27/2023,39800,39100,40000,39100,5.71M,1.79%
11/24/2023,39100,39000,39200,38050,7.38M,0.26%
11/23/2023,39000,39350,39950,39000,7.66M,0.00%
11/22/2023,39000,39400,39600,38850,4.81M,-0.26%
11/21/2023,39100,39750,39750,38900,4.79M,0.39%
11/20/2023,38950,38500,39500,38300,4.90M,0.00%
11/17/2023,38950,41300,41750,38500,16.31M,-5.35%
11/16/2023,41150,41400,41650,40800,5.39M,-0.72%
11/15/2023,41450,41800,42600,41350,8.59M,1.10%
11/14/2023,41000,41850,41900,40750,7.50M,-0.85%
11/13/2023,41350,42600,42600,41300,7.23M,-2.25%
11/10/2023,42300,42500,43200,42300,6.52M,-1.40%
11/9/2023,42900,41600,43050,41450,15.46M,4.63%
11/8/2023,41000,39950,41500,39200,7.70M,2.50%
11/7/2023,40000,40900,40950,40000,4.44M,-2.44%
11/6/2023,41000,40650,41400,40600,6.34M,1.23%
11/3/2023,40500,40450,40550,39950,8.27M,1.38%
11/2/2023,39950,38450,40000,37700,9.14M,3.90%
11/1/2023,38450,38900,39000,36750,9.75M,-1.41%
10/31/2023,39000,39200,39700,38000,7.71M,-0.51%
10/30/2023,39200,39000,40000,37750,6.76M,0.00%
10/27/2023,39200,40000,41500,38900,18.17M,-6.22%
10/26/2023,41800,41800,41800,41800,6.09M,-6.90%
10/25/2023,44900,45400,45950,44750,3.92M,0.67%
10/24/2023,44600,44900,45000,44000,3.18M,0.22%
10/23/2023,44500,44500,45300,44000,5.69M,0.00%
10/20/2023,44500,42500,44800,41700,3.19M,4.71%
10/19/2023,42500,43450,43450,42500,3.73M,-1.85%
10/18/2023,43300,44600,45800,43000,3.86M,-2.70%
10/17/2023,44500,45600,45900,44500,2.40M,-2.31%
10/16/2023,45550,46900,47000,45550,3.27M,-2.88%
10/13/2023,46900,47050,47200,46500,2.58M,-1.37%
10/12/2023,47550,47600,48000,47350,2.45M,0.32%
10/11/2023,47400,47700,47800,46850,2.92M,-1.25%
10/10/2023,48000,47150,48000,46900,4.83M,2.13%
10/9/2023,47000,46100,47500,46050,3.86M,2.06%
10/6/2023,46050,44850,46150,44550,3.43M,3.37%
10/5/2023,44550,44700,45250,44250,2.70M,-0.11%
10/4/2023,44600,43250,45400,43250,3.47M,1.25%
10/3/2023,44050,45000,45250,44050,4.66M,-3.72%
10/2/2023,45750,45600,46200,45200,1.82M,0.55%
09/29/2023,45500,45000,47500,45000,7.29M,2.25%
