Date,Price,Open,High,Low,Vol.,Change %
3/1/2024,17300,17150,17400,17050,21.86M,1.17%
02/29/2024,17100,17000,17300,16900,30.60M,0.59%
02/28/2024,17000,17150,17200,16850,14.95M,-0.29%
02/27/2024,17050,16950,17100,16750,22.16M,1.49%
02/26/2024,16800,16800,16950,16550,23.43M,0.90%
02/23/2024,16650,17100,17250,16600,37.28M,-2.63%
02/22/2024,17100,17350,17400,17100,22.16M,-1.44%
02/21/2024,17350,17700,17800,17300,30.97M,-1.14%
02/20/2024,17550,17550,17650,17300,36.29M,0.00%
02/19/2024,17550,17700,17800,17400,29.94M,-0.85%
02/16/2024,17700,17500,18000,17500,35.47M,1.14%
02/15/2024,17500,17500,17650,17300,25.95M,1.16%
2/7/2024,17300,17300,17450,17050,22.94M,0.29%
2/6/2024,17250,17000,17500,17000,32.14M,1.47%
2/5/2024,17000,17000,17100,16750,13.41M,0.00%
2/2/2024,17000,16700,17350,16650,66.16M,1.80%
2/1/2024,16700,16750,16900,16600,13.57M,0.00%
01/31/2024,16700,17000,17050,16600,25.86M,1.52%
01/30/2024,16450,16400,16550,16300,9.55M,0.30%
01/29/2024,16400,16650,16750,16350,8.98M,-1.20%
01/26/2024,16600,16600,16900,16600,10.34M,0.00%
01/25/2024,16600,16750,16800,16500,8.64M,-0.60%
01/24/2024,16700,17000,17050,16650,17.05M,-1.76%
01/23/2024,17000,17300,17350,16900,14.19M,-1.73%
01/22/2024,17300,16400,17400,16200,32.57M,5.49%
01/19/2024,16400,16550,16550,16250,8.54M,0.61%
01/18/2024,16300,16400,16600,16250,9.81M,0.62%
01/17/2024,16200,16450,16600,16100,25.32M,-2.70%
01/16/2024,16650,16200,16700,16150,8.61M,2.15%
01/15/2024,16300,16500,16600,16300,7.57M,0.00%
1/12/2024,16300,16650,16750,16050,28.03M,-3.26%
1/11/2024,16850,16900,17050,16750,11.97M,-0.30%
1/10/2024,16900,17050,17200,16800,13.26M,-0.88%
1/9/2024,17050,17400,17450,17000,12.91M,-1.45%
1/8/2024,17300,17050,17500,17000,23.76M,2.67%
1/5/2024,16850,16850,17050,16800,9.15M,0.00%
1/4/2024,16850,16900,17150,16850,21.53M,0.30%
1/3/2024,16800,16700,16850,16650,8.77M,0.30%
1/2/2024,16750,17200,17300,16700,13.55M,-1.76%
12/29/2023,17050,16700,17250,16700,24.84M,2.10%
12/28/2023,16700,16750,16950,16700,11.52M,-0.60%
12/27/2023,16800,16900,17000,16750,16.80M,-0.59%
12/26/2023,16900,17000,17150,16800,8.80M,0.00%
12/25/2023,16900,16600,17100,16550,14.52M,1.81%
12/22/2023,16600,16650,16900,16500,7.46M,0.00%
12/21/2023,16600,16600,16700,16500,8.04M,-0.90%
12/20/2023,16750,16800,16900,16600,7.07M,-0.30%
12/19/2023,16800,16400,16800,16200,11.52M,2.44%
12/18/2023,16400,16950,16950,16400,9.52M,-2.96%
12/15/2023,16900,16300,17100,15800,38.52M,3.68%
12/14/2023,16300,17200,17250,16250,30.61M,-4.12%
12/13/2023,17000,17850,17850,17000,19.98M,-3.95%
12/12/2023,17700,17850,17850,17600,10.96M,0.57%
12/11/2023,17600,17600,17750,17350,15.16M,0.00%
12/8/2023,17600,17600,17850,17400,16.56M,0.57%
