Date,Price,Open,High,Low,Vol.,Change %
3/1/2024,39900,39800,39950,39300,3.46M,0.76%
02/29/2024,39600,38500,39700,38150,8.04M,3.66%
02/28/2024,38200,38700,38750,38000,1.74M,-0.78%
02/27/2024,38500,37500,38700,37500,2.35M,2.94%
02/26/2024,37400,37650,37750,37100,2.49M,-0.80%
02/23/2024,37700,39100,39100,37500,4.64M,-3.33%
02/22/2024,39000,38900,39250,38900,1.39M,0.00%
02/21/2024,39000,38800,39700,38700,2.31M,0.13%
02/20/2024,38950,38900,39300,38750,1.91M,0.52%
02/19/2024,38750,39500,39500,38700,4.68M,-1.40%
02/16/2024,39300,39350,40200,39300,3.02M,-0.13%
02/15/2024,39350,39800,39900,39250,2.56M,-1.13%
2/7/2024,39800,40100,40100,39250,3.30M,-0.13%
2/6/2024,39850,39600,40300,39500,3.05M,0.89%
2/5/2024,39500,39500,39800,38850,2.67M,0.00%
2/2/2024,39500,39050,41000,39050,6.37M,1.15%
2/1/2024,39050,38500,39150,38350,1.70M,1.43%
01/31/2024,38500,39250,39300,38450,2.74M,-1.53%
01/30/2024,39100,38800,39300,38650,2.26M,0.39%
01/29/2024,38950,39700,39700,38900,1.95M,-1.52%
01/26/2024,39550,38500,39550,38450,5.29M,2.86%
01/25/2024,38450,38450,38450,38150,1.13M,0.52%
01/24/2024,38250,38900,38950,38250,2.70M,-1.54%
01/23/2024,38850,39300,39450,38700,1.77M,-1.15%
01/22/2024,39300,39050,39400,38450,3.41M,0.77%
01/19/2024,39000,39200,39500,38750,3.36M,-0.38%
01/18/2024,39150,37450,39500,37450,8.48M,5.24%
01/17/2024,37200,37000,37550,36750,2.19M,0.54%
01/16/2024,37000,35850,37000,35800,1.25M,2.78%
01/15/2024,36000,36700,36950,36000,1.39M,-1.10%
1/12/2024,36400,36500,36950,36000,2.52M,-1.22%
1/11/2024,36850,37300,37500,36800,1.79M,-0.67%
1/10/2024,37100,37600,38000,37000,2.35M,-1.33%
1/9/2024,37600,38200,38500,37550,1.75M,-1.18%
1/8/2024,38050,37500,38150,37500,4.74M,2.28%
1/5/2024,37200,36800,37500,36800,2.07M,0.54%
1/4/2024,37000,37000,37700,36900,3.01M,0.00%
1/3/2024,37000,36450,37100,36450,1.14M,1.09%
1/2/2024,36600,36800,37200,36450,1.40M,-0.14%
12/29/2023,36650,37000,37350,36650,1.89M,-0.95%
12/28/2023,37000,37100,37650,37000,2.04M,-0.27%
12/27/2023,37100,37600,37800,37100,2.09M,-1.33%
12/26/2023,37600,37900,37950,37350,1.42M,-0.27%
12/25/2023,37700,36700,37750,36600,2.94M,2.72%
12/22/2023,36700,36700,36900,36450,907.50K,0.00%
12/21/2023,36700,36400,36700,36100,955.20K,0.55%
12/20/2023,36500,36650,36700,36300,627.50K,-0.27%
12/19/2023,36600,36400,36600,35900,737.30K,0.83%
12/18/2023,36300,35700,36900,35500,1.60M,1.68%
12/15/2023,35700,35850,36300,35000,2.02M,-0.42%
12/14/2023,35850,36600,36700,35800,1.81M,-0.97%
12/13/2023,36200,37200,37200,36200,2.00M,-1.90%
12/12/2023,36900,36750,36950,36350,1.25M,1.37%
12/11/2023,36400,36950,37000,36200,1.38M,-1.36%
12/8/2023,36900,37200,37650,36550,1.30M,-0.67%
12/7/2023,37150,38450,38450,36600,2.96M,-2.75%
12/6/2023,38200,37600,38350,37400,2.13M,1.60%
12/5/2023,37600,38100,38300,37600,2.24M,-1.83%
12/4/2023,38300,37600,38800,37500,3.86M,2.96%
12/1/2023,37200,37500,37500,36600,1.31M,0.54%
11/30/2023,37000,37600,37800,37000,2.57M,-0.80%
11/29/2023,37300,37300,37500,37000,1.51M,0.27%
11/28/2023,37200,36750,37400,36200,1.68M,0.40%
11/27/2023,37050,36850,37800,36700,2.25M,0.41%
11/24/2023,36900,35700,36900,35200,2.93M,3.94%
11/23/2023,35500,38200,38400,35500,5.44M,-6.95%
11/22/2023,38150,37850,38400,37450,4.94M,0.79%
11/21/2023,37850,37500,38400,37200,3.28M,1.88%
11/20/2023,37150,36700,37850,36000,2.91M,0.54%
11/17/2023,36950,37500,38000,35800,4.39M,-1.47%
11/16/2023,37500,36650,37500,36500,2.23M,2.18%
11/15/2023,36700,37900,37900,36400,3.39M,-0.81%
11/14/2023,37000,37400,37850,36500,3.06M,0.00%
11/13/2023,37000,36900,37550,36100,3.69M,1.37%
